idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
17,1.5588196095822748e-25,true,3,false,0.0002207,"[2.569621711518234, 1.1815784588796983]","[-1.3972500397371668, -1.1529219835943225]",0,239
18,2.1384951316779028e-26,true,3,false,0.0002054,"[2.5696217115254383, 1.1815784588792275]","[-0.27322961221704645, -0.5101173409267433]",0,239
19,5.747423704970848e-26,true,3,false,0.0001899,"[2.569621711522629, 1.181578458879411]","[-1.7983567634893314, 0.8231200506166791]",0,239
20,3.474982944760055e-26,true,3,false,0.0001915,"[2.5696217115241486, 1.1815784588793117]","[-0.6634712267123949, -0.2399591176621829]",0,239
1,3.3248713032766246e-24,true,3,false,0.000366,"[-3.159909058520431, 1.641804226539857]","[0.03833248646601629, 0.213845359778582]",0,240
2,1.2364836493518719e-24,true,3,false,0.0002505,"[-3.1599090585389833, 1.6418042265410966]","[-0.7042838077754542, -0.4007992090593657]",0,240
3,1.7046726145867965e-23,true,3,false,0.0002082,"[-3.159909058460574, 1.6418042265358574]","[1.4214984593810815, -0.5777261953257666]",0,240
4,3.026967880008744e-24,true,3,false,0.0001983,"[-3.159909058522614, 1.6418042265400028]","[-0.4658959078249555, -0.7303008298610437]",0,240
5,2.8353933714603185e-24,true,3,false,0.0001764,"[-3.159909058524124, 1.6418042265401038]","[-1.365080912437378, -1.3208174975844296]",0,240
6,6.569172141305996e-24,true,3,false,0.0001798,"[-3.159909058501288, 1.6418042265385777]","[0.5431992343373382, 0.09271546518564394]",0,240
7,5.150453090192249e-24,true,2,false,0.0001539,"[-3.1599090585088563, 1.6418042265390835]","[-0.7590535993444354, 0.9209639329677229]",0,240
8,7.86553616707231e-26,true,4,false,0.000372,"[-3.159909058560563, 1.6418042265425385]","[0.745620993889791, -2.216096423049429]",1,240
9,1.0020703982713194e-23,true,3,false,0.0002984,"[-3.1599090584855745, 1.6418042265375279]","[0.8442354651341021, -0.3265277272261217]",0,240
10,3.0407107949277097e-24,true,2,false,0.000242,"[-3.159909058522509, 1.641804226539996]","[-1.0120757369891493, 1.1470306234136702]",0,240
11,1.1110819821219912e-23,true,3,false,0.0002413,"[-3.159909058481285, 1.6418042265372412]","[0.7232770971838263, -0.728534008508048]",0,240
12,1.0992007984780701e-24,true,3,false,0.0002276,"[-3.159909058540575, 1.641804226541203]","[0.5202990342876057, 1.1204520037446837]",0,240
13,7.262926504376357e-24,true,3,false,0.0002153,"[-3.1599090584978646, 1.641804226538349]","[1.6996228215478644, 1.0844860147154771]",0,240
14,1.4054550918842907e-25,true,3,false,0.000206,"[-3.159909058558122, 1.6418042265423756]","[-1.0989445324831357, -0.0993402202293609]",0,240
15,1.658194161828831e-23,true,3,false,0.0002187,"[-3.1599090584620266, 1.6418042265359543]","[1.5447563259135333, -0.22651795438142638]",0,240
16,2.991896512804622e-23,true,3,false,0.0002132,"[-3.1599090584257485, 1.64180422653353]","[1.7376928272513674, -1.2953938355637125]",0,240
17,1.4196960435676521e-24,true,3,false,0.0002012,"[-3.1599090585368907, 1.6418042265409567]","[-1.3972500397371668, -1.1529219835943225]",0,240
18,3.1663737786439508e-24,true,3,false,0.000195,"[-3.1599090585215626, 1.6418042265399326]","[-0.27322961221704645, -0.5101173409267433]",0,240
19,1.0455171015413012e-24,true,2,false,0.0002185,"[-3.1599090585412926, 1.641804226541251]","[-1.7983567634893314, 0.8231200506166791]",0,240
20,1.102162121114174e-24,true,3,false,0.000213,"[-3.1599090585405225, 1.6418042265411994]","[-0.6634712267123949, -0.2399591176621829]",0,240
1,1.2482579320603134e-23,true,3,false,0.0004347,"[4.765095776221257, 0.9655299648801724]","[0.03833248646601629, 0.213845359778582]",0,241
2,2.311351925952449e-23,true,3,false,0.0002876,"[4.765095776258389, 0.9655299648777455]","[-0.7042838077754542, -0.4007992090593657]",0,241
3,3.612426909735809e-24,true,3,false,0.0002304,"[4.765095776173639, 0.9655299648832848]","[1.4214984593810815, -0.5777261953257666]",0,241
