idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
18,1.3049202791996252e-29,true,14,false,0.0002947,"[4.38289762157243, 1.2060049037934808]","[0.3417821366484886, 0.5080857763662175]",1,165
4,2.01337717260923e-30,true,14,false,0.0002961,"[3.6264273922723063, 1.244149324550769]","[-0.4169926351649334, 2.0289114854525314]",1,166
19,1.057576050918985e-30,true,14,false,0.000311,"[2.8061337585750157, 1.371473975369614]","[-0.3188700715740966, -2.249739828113134]",1,167
11,7.017176938993071e-29,true,14,false,0.0002585,"[4.246957756324028, 1.2372354447405831]","[1.2192815097319654, 1.9026327297429109]",1,168
18,5.358055478899203e-31,true,14,false,0.0003112,"[3.604476569916688, 1.2982007741822903]","[0.3417821366484886, 0.5080857763662175]",1,169
9,3.769107375588347e-30,true,14,false,0.0002562,"[5.592890552561368, 1.1665449592079322]","[0.0694591410918936, -2.0538554561632223]",1,170
5,3.0486922454729866e-29,true,14,false,0.0002714,"[4.407018653113995, 1.2313714347667308]","[0.28758798062385577, -0.12763690272983585]",1,171
5,3.775804306867207e-30,true,14,false,0.0002822,"[8.045949036352349, 0.9734285069700536]","[0.28758798062385577, -0.12763690272983585]",1,172
18,5.3851223984446896e-30,true,14,false,0.0002954,"[6.759022351493142, 1.0328090841366948]","[0.3417821366484886, 0.5080857763662175]",1,173
10,7.36157960928109e-30,true,14,false,0.0002791,"[4.865987321720925, 1.216370568669494]","[-0.11732280453081337, -0.8280567719469374]",1,174
20,6.266126491937747e-30,true,14,false,0.0002809,"[5.3584037829781765, 1.1667221747325307]","[-0.33745447783309457, 0.12530157347367626]",1,175
16,2.262320248100935e-30,true,14,false,0.0002468,"[7.481651628985378, 1.0264520295151058]","[-0.8900766562698114, -1.2890210708540353]",1,176
18,3.9585972889013545e-31,true,14,false,0.0002995,"[3.71997337019049, 1.255349779114745]","[0.3417821366484886, 0.5080857763662175]",1,177
12,5.564182827964613e-30,true,14,false,0.000284,"[4.031192115169452, 1.24257709333397]","[0.29291433452245674, 0.6596379523048166]",1,178
4,2.2460365831280236e-29,true,14,false,0.0003887,"[4.2700505569878535, 1.2069203542219968]","[-0.4169926351649334, 2.0289114854525314]",1,179
5,1.9060708943777563e-29,true,14,false,0.000339,"[7.170543419846361, 1.024477661071737]","[0.28758798062385577, -0.12763690272983585]",1,180
16,1.5233328710579333e-28,true,14,false,0.0002673,"[6.954752972571783, 1.0881457272614636]","[-0.8900766562698114, -1.2890210708540353]",1,181
20,6.149473643247707e-30,true,14,false,0.000289,"[2.4688534779855216, 1.3447652879417926]","[-0.33745447783309457, 0.12530157347367626]",1,182
14,2.8488314885348193e-30,true,14,false,0.00027,"[3.7573534245366487, 1.2551073219389317]","[0.3158331001728098, 0.7859141337249973]",1,183
13,2.792569920208758e-29,true,14,false,0.0002662,"[6.785496445435174, 1.0670120221076143]","[-0.031148130349280094, 0.3646547529502906]",1,184
11,4.980181224865803e-30,true,14,false,0.0002665,"[4.797153091189239, 1.1977909758791558]","[1.2192815097319654, 1.9026327297429109]",1,185
14,3.140269388047701e-30,true,14,false,0.0003458,"[1.013515572741175, 1.444196373728626]","[0.3158331001728098, 0.7859141337249973]",1,186
2,8.049763687780881e-32,true,14,false,0.0002808,"[2.837800225607442, 1.3359987790237837]","[-1.1220725081141734, 0.7650300179102025]",1,187
7,9.497964182959487e-31,true,14,false,0.0002748,"[4.37977357607993, 1.2028022200923845]","[-0.4217686643996927, -1.5268834666380147]",1,188
5,9.450155638414384e-31,true,14,false,0.0002551,"[6.217455012092331, 1.0373561211961337]","[0.28758798062385577, -0.12763690272983585]",1,189
4,4.611935910507183e-30,true,14,false,0.0003226,"[8.886488626577044, 0.9719602018985051]","[-0.4169926351649334, 2.0289114854525314]",1,190
19,3.18723630300654e-32,true,14,false,0.000289,"[7.7114146223170685, 1.0211074923665266]","[-0.3188700715740966, -2.249739828113134]",1,191
